Page,URL,Status,Title Tag,Meta Description,H1,Canonical,OpenGraph,Twitter Card,Schema Markup,Internal Links,Keywords,Images Optimized,Mobile Friendly,Page Speed,Content Length,Last Updated,SEO Score,Priority Issues,Recommendations
Homepage,/,✅ Optimized,"GoHigh Impact – GoHighLevel CRM 2025 Guide for Agencies & SaaS Founders","Watch the GoHighLevel all-in-one platform tour, compare 2025 pricing, and grab automation frameworks that scale agencies and SaaS brands.",✅ Present,✅ /,✅ Configured,✅ summary_large_image,"✅ Organization, Website, Software, FAQ",✅ 20+ links,"gohighlevel crm, marketing automation, white label crm",✅ Optimized,✅ Responsive,⚡ Fast,~5000 words,Oct 27 2025,95/100,None,"Add video transcript, more screenshots"
GoHighLevel Review,/gohighlevel-review,✅ Optimized,"GoHighLevel CRM Review 2025: Pricing, Features & Real User Results","Complete GoHighLevel CRM review with pricing breakdown, feature analysis, and real agency results.",✅ Present,✅ /gohighlevel-review,✅ Configured,⚠️ Not configured,"⚠️ Missing Article schema",✅ 15+ links,"gohighlevel review, gohighlevel pricing, crm features",⚠️ No images,✅ Responsive,⚡ Fast,~8000 words,Oct 27 2025,82/100,Missing Twitter Card & Article schema,"Add Twitter card, Article schema, featured image"
White Label Guide,/gohighlevel-whitelabel,✅ Optimized,"GoHighLevel White Label Guide 2025: Build Your Agency SaaS","Complete guide to GoHighLevel white label and SaaS mode. Learn pricing, setup, branding, and how to build recurring revenue.",✅ Present,✅ /gohighlevel-whitelabel,✅ Configured,✅ summary_large_image,⚠️ Missing Article schema,✅ 12+ links,"gohighlevel white label, saas mode, agency saas",✅ Optimized,✅ Responsive,⚡ Fast,~4000 words,Oct 24 2025,88/100,Missing Article schema,"Add Article schema, more case study links"
Case Studies,/case-studies,✅ Optimized,"GoHighLevel Case Studies: Real ROI & Results from Agency Clients","See how agencies achieved 10x ROI, 400% revenue growth, and 85% time savings with GoHighLevel CRM.",✅ Present,✅ /case-studies,✅ Configured,⚠️ Not configured,⚠️ Missing Article/Collection schema,✅ 8+ links,"gohighlevel case studies, gohighlevel roi, agency success stories",⚠️ No images,✅ Responsive,⚡ Fast,~6000 words,Oct 27 2025,85/100,Missing Twitter Card & schema,"Add Twitter card, CollectionPage schema, client logos"
About,/about,✅ Optimized,"About GoHigh Impact - GoHighLevel CRM Experts & Consultants","Learn how GoHigh Impact helps agencies and SaaS companies scale with GoHighLevel CRM.",✅ Present,✅ /about,⚠️ Not configured,⚠️ Not configured,⚠️ Missing Organization schema,✅ 6+ links,"gohighlevel experts, crm consultants, agency growth",⚠️ No team photos,✅ Responsive,⚡ Fast,~2000 words,Oct 27 2025,78/100,Missing OG & Twitter cards,"Add OpenGraph, Twitter card, Organization schema, team photos"
Contact,/contact,✅ Optimized,"Contact GoHigh Impact - Support & Partnerships","Get in touch with the GoHigh Impact team for GoHighLevel CRM support and partnerships.",✅ Present,✅ /contact,⚠️ Not configured,⚠️ Not configured,⚠️ Missing ContactPage schema,✅ 4+ links,"contact gohighlevel support, partnership inquiries",✅ Icons only,✅ Responsive,⚡ Fast,~500 words,Oct 27 2025,75/100,Missing OG & schema,"Add OpenGraph, Twitter card, ContactPage schema"
Blog Hub,/posts,✅ Optimized,"GoHighLevel CRM Tutorials, Guides & Marketing Automation Resources","Explore comprehensive GoHighLevel CRM tutorials, guides, and insights about marketing automation.",✅ Present,✅ /posts,✅ Configured,✅ summary_large_image,⚠️ Missing CollectionPage schema,✅ 10+ links,"gohighlevel tutorials, crm guides, marketing automation",✅ Post thumbnails,✅ Responsive,⚡ Fast,Dynamic,Oct 27 2025,88/100,Missing CollectionPage schema,"Add CollectionPage schema, featured tutorials section"
Blog Post Template,/posts/[slug],✅ Optimized,Dynamic from WordPress,Dynamic from WordPress,✅ Present,✅ Dynamic,✅ Configured,✅ summary_large_image,✅ Article schema (via WordPress),✅ 15+ links,Dynamic from post,✅ Featured image,✅ Responsive,⚡ Fast,Dynamic,Oct 27 2025,92/100,None,"Ensure all posts have featured images, alt text"
Privacy Policy,/privacy-policy,✅ Compliant,"Privacy Policy - GoHigh Impact","Read our privacy policy to understand how we collect, use, and protect your data.",✅ Present,✅ /privacy-policy,⚠️ Not configured,⚠️ Not configured,⚠️ No schema needed,✅ 3+ links,"privacy policy, data protection, gdpr",N/A,✅ Responsive,⚡ Fast,~3000 words,Oct 27 2025,70/100,Missing OG tags,"Add OpenGraph, update last modified date"
Terms of Service,/tos,✅ Compliant,"Terms of Service - GoHigh Impact","Read our terms of service to understand the rules and regulations for using our website.",✅ Present,✅ /tos,⚠️ Not configured,⚠️ Not configured,⚠️ No schema needed,✅ 3+ links,"terms of service, terms and conditions",N/A,✅ Responsive,⚡ Fast,~2500 words,Oct 27 2025,70/100,Missing OG tags,"Add OpenGraph, update last modified date"
